message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,urgent,history shows repeated reporting; urgent wording suggests immediate attention; event or business-update language is time-sensitive | matched urgency indicators,0.604,message_0243;message_0102;message_0101
msg_091,notify,urgent,history shows repeated reporting; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.497,message_0238;message_0381;message_0380
msg_090,digest,greeting,business risk score is elevated; personal or greeting content is usually low urgency; the user currently has a heavy notification load | matched greeting language,0.413,none
msg_048,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; the group context is high priority | matched urgency indicators; contains deadline language,0.553,message_0151;message_0150;message_0100
msg_040,digest,forward,the user has muted this group; business risk score is elevated; the group context is high priority | appears to be forwarded,0.373,message_0136;message_0135;message_0259
msg_075,notify,business_update,event or business-update language is time-sensitive; high dismissal rates suggest batching instead of interruption; the user currently has a heavy notification load | matched business update language,0.608,message_0206;message_0205;message_0294
msg_005,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; the group context is high priority | matched urgency indicators; contains deadline language,0.519,message_0401;message_0065;message_0049
msg_104,digest,greeting,business risk score is elevated; personal or greeting content is usually low urgency; high dismissal rates suggest batching instead of interruption | matched greeting language,0.286,message_0383;message_0232
msg_069,mute,greeting,the user has muted this group; business risk score is elevated; the group context is high priority | matched greeting language,0.431,message_0177;message_0193;message_0042
msg_107,digest,payment,OTP language raises risk; business risk score is elevated; payment without verified business is less urgent | matched payment or billing language; contains an amount,0.528,message_0235;message_0056;message_0369
msg_070,digest,greeting,OTP language raises risk; business risk score is elevated; the group context is high priority | matched greeting language,0.463,message_0213;message_0199;message_0195
msg_003,notify,urgent,urgent wording suggests immediate attention; personal or greeting content is usually low urgency; high dismissal rates suggest batching instead of interruption | matched urgency indicators; contains deadline language,0.698,message_0400;message_0031;message_0061
msg_099,digest,greeting,business risk score is elevated; personal or greeting content is usually low urgency; the user currently has a heavy notification load | matched greeting language,0.471,message_0227;message_0055;message_0363
msg_008,notify,urgent,urgent wording suggests immediate attention; high dismissal rates suggest batching instead of interruption; the user currently has a heavy notification load | matched urgency indicators,0.624,message_0296;message_0072;message_0071
msg_092,notify,payment,verified business payment context is high confidence; the user currently has a heavy notification load; prior engagement supports a more immediate action | matched payment or billing language,0.618,message_0346;message_0345;message_0344
msg_060,digest,urgent,history shows repeated reporting; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.503,message_0404;message_0284;message_0176
msg_004,notify,business_update,event or business-update language is time-sensitive; the user currently has a heavy notification load; historical mute probability is elevated | matched business update language,0.586,message_0245;message_0005;message_0064
msg_030,digest,greeting,the user has muted this group; business risk score is elevated; the group context is high priority | matched greeting language,0.308,message_0115;message_0335;message_0050
msg_045,mute,scam,scam-like indicators increase mute likelihood; business risk score is elevated; the group context is high priority | matched scam-related indicators,0.512,message_0146;message_0145;message_0266
msg_052,notify,urgent,history shows repeated reporting; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.538,message_0208;message_0207;message_0159
msg_009,mute,greeting,the user has muted this group; history shows repeated reporting; business risk score is elevated | matched greeting language,0.389,message_0074;message_0073
msg_071,digest,greeting,business risk score is elevated; personal or greeting content is usually low urgency; the user currently has a heavy notification load | matched greeting language,0.443,message_0197;message_0198;message_0274
msg_016,notify,urgent,history shows repeated reporting; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators,0.427,message_0024;message_0201;message_0087
msg_065,digest,promotion,history shows repeated reporting; media content adds context; personal or greeting content is usually low urgency | matched promotional language; contains deadline-style urgency,0.614,message_0261;message_0185;message_0186
msg_038,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; forwarded content is less trustworthy | matched urgency indicators; contains deadline language,0.502,message_0131;message_0132;message_0082
msg_086,notify,unknown,media content adds context; the user currently has a heavy notification load; prior engagement supports a more immediate action | did not match strong rule-based indicators,0.505,message_0222;message_0248
msg_014,notify,urgent,urgent wording suggests immediate attention; high dismissal rates suggest batching instead of interruption; the user currently has a heavy notification load | matched urgency indicators,0.511,message_0258;message_0018;message_0017
msg_094,notify,urgent,history shows repeated reporting; urgent wording suggests immediate attention; promotions are better batched for this user | matched urgency indicators; contains deadline language,0.537,message_0356;message_0048;message_0357
msg_029,digest,greeting,business risk score is elevated; the group context is high priority; media content adds context | matched greeting language,0.448,message_0401;message_0095;message_0113
msg_105,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; personal or greeting content is usually low urgency | matched urgency indicators; contains deadline language,0.546,message_0373;message_0233;message_0372
msg_002,notify,event,business risk score is elevated; event or business-update language is time-sensitive; the group context is high priority | matched event or meeting language; contains meeting or scheduling language,0.533,message_0003;message_0041;message_0059
msg_010,mute,unknown,history shows repeated reporting; the user currently has a heavy notification load | did not match strong rule-based indicators,0.486,message_0011;message_0242;message_0075
msg_078,notify,urgent,the user has muted this group; history shows repeated reporting; business risk score is elevated | matched urgency indicators,0.342,message_0211;message_0212;message_0163
msg_013,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; promotions are better batched for this user | matched urgency indicators; contains deadline language,0.502,message_0081;message_0082;message_0343
msg_018,notify,urgent,history shows repeated reporting; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.509,message_0026;message_0091;message_0092
msg_044,notify,urgent,OTP language raises risk; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.542,message_0143;message_0144;message_0036
msg_032,mute,payment,history shows repeated reporting; business risk score is elevated; payment without verified business is less urgent | contains an amount,0.373,message_0119;message_0285;message_0120
msg_106,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; high dismissal rates suggest batching instead of interruption | matched urgency indicators; contains deadline language,0.542,message_0376;message_0234;message_0377
msg_006,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; the group context is high priority | matched urgency indicators; contains deadline language,0.553,message_0097;message_0067;message_0029
msg_109,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; the group context is high priority | matched urgency indicators; contains deadline language,0.553,message_0151;message_0150;message_0152
msg_108,notify,urgent,history shows repeated reporting; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.517,message_0094;message_0093;message_0236
msg_019,notify,urgent,history shows repeated reporting; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.517,message_0094;message_0093;message_0236
msg_088,mute,unknown,the user has muted this group; business risk score is elevated; the group context is high priority | did not match strong rule-based indicators,0.229,message_0025;message_0050;message_0335
msg_056,notify,urgent,the user has muted this group; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.519,message_0168;message_0167;message_0013
msg_027,digest,spam,media content adds context; personal or greeting content is usually low urgency; the user currently has a heavy notification load | matched spam-like language,0.61,message_0272;message_0033;message_0007
msg_050,notify,business_update,event or business-update language is time-sensitive; the user currently has a heavy notification load; prior engagement supports a more immediate action | matched business update language,0.584,message_0279;message_0155;message_0156
msg_083,notify,unknown,business risk score is elevated; the group context is high priority; media content adds context | did not match strong rule-based indicators,0.326,message_0219;message_0325
msg_063,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; event or business-update language is time-sensitive | matched urgency indicators; contains deadline language,0.531,message_0181;message_0182;message_0255
msg_033,digest,urgent,business risk score is elevated; urgent wording suggests immediate attention; personal or greeting content is usually low urgency | matched urgency indicators,0.489,message_0121;message_0122;message_0280
msg_061,mute,greeting,the user has muted this group; business risk score is elevated; the group context is high priority | matched greeting language,0.431,message_0177;message_0193;message_0042
msg_020,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; the group context is high priority | matched urgency indicators; contains deadline language,0.539,message_0096;message_0114;message_0049
msg_017,notify,urgent,the user has muted this group; history shows repeated reporting; business risk score is elevated | matched urgency indicators; contains deadline language,0.457,message_0089;message_0090;message_0319
msg_058,digest,forward,the user has muted this group; business risk score is elevated; the group context is high priority | appears to be forwarded,0.462,message_0039;message_0040;message_0241
msg_026,mute,payment,history shows repeated reporting; business risk score is elevated; payment without verified business is less urgent | matched payment or billing language,0.46,message_0032;message_0107;message_0108
msg_047,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; event or business-update language is time-sensitive | matched urgency indicators; contains deadline language,0.553,message_0149;message_0152;message_0151
msg_046,mute,scam,scam-like indicators increase mute likelihood; OTP language raises risk; history shows repeated reporting | contains OTP language,0.355,message_0148;message_0147;message_0024
msg_042,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; the group context is high priority | matched urgency indicators,0.462,message_0140;message_0139;message_0058
msg_079,digest,greeting,OTP language raises risk; business risk score is elevated; the group context is high priority | matched greeting language,0.463,message_0023;message_0045;message_0213
msg_098,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; the user currently has a heavy notification load | matched urgency indicators; contains deadline language,0.519,message_0226;message_0359;message_0360
msg_037,digest,greeting,business risk score is elevated; the group context is high priority; personal or greeting content is usually low urgency | matched greeting language,0.481,message_0001;message_0029;message_0129
msg_007,notify,business_update,history shows repeated reporting; business risk score is elevated; event or business-update language is time-sensitive | matched business update language,0.404,message_0070;message_0069
msg_085,mute,unknown,business risk score is elevated; media content adds context; the user currently has a heavy notification load | did not match strong rule-based indicators,0.38,message_0221;message_0263;message_0412
msg_001,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; event or business-update language is time-sensitive | matched urgency indicators,0.462,message_0057;message_0240;message_0058
msg_021,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; the group context is high priority | matched urgency indicators; contains deadline language,0.553,message_0098;message_0068;message_0029
msg_028,digest,promotion,media content adds context; promotions are better batched for this user; high dismissal rates suggest batching instead of interruption | matched promotional language,0.506,message_0034;message_0112;message_0111
msg_012,digest,forward,business risk score is elevated; personal or greeting content is usually low urgency; forwarded content is less trustworthy | appears to be forwarded,0.446,message_0079;message_0247;message_0080
msg_064,mute,payment,history shows repeated reporting; business risk score is elevated; payment without verified business is less urgent | matched payment or billing language,0.407,message_0201;message_0087;message_0183
msg_103,digest,greeting,business risk score is elevated; personal or greeting content is usually low urgency; the user currently has a heavy notification load | matched greeting language,0.426,message_0382;message_0231
msg_031,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; the group context is high priority | contains deadline language,0.379,message_0117;message_0249;message_0118
msg_057,notify,business_update,business risk score is elevated; event or business-update language is time-sensitive; the group context is high priority | matched business update language,0.476,message_0059;message_0169;message_0003
msg_087,mute,unknown,the user has muted this group; history shows repeated reporting; business risk score is elevated | did not match strong rule-based indicators,0.23,message_0223;message_0204;message_0203
msg_067,notify,payment,business risk score is elevated; payment without verified business is less urgent; the group context is high priority | matched payment or billing language; contains an amount,0.545,message_0098;message_0068;message_0029
msg_039,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; the group context is high priority | matched urgency indicators; contains deadline language,0.531,message_0051;message_0403;message_0255
msg_082,mute,unknown,history shows repeated reporting; business risk score is elevated; the group context is high priority | did not match strong rule-based indicators,0.327,message_0218;message_0397;message_0035
msg_066,notify,urgent,urgent wording suggests immediate attention; media content adds context; promotions are better batched for this user | matched urgency indicators; contains deadline language,0.548,message_0188;message_0187;message_0402
msg_049,notify,urgent,urgent wording suggests immediate attention; media content adds context; the user currently has a heavy notification load | matched urgency indicators; contains deadline language,0.682,message_0154;message_0291;message_0153
msg_015,notify,urgent,OTP language raises risk; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.535,message_0023;message_0045;message_0213
msg_051,notify,urgent,urgent wording suggests immediate attention; promotions are better batched for this user; high dismissal rates suggest batching instead of interruption | matched urgency indicators; contains deadline language,0.575,message_0257;message_0103;message_0157
msg_097,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; personal or greeting content is usually low urgency | matched urgency indicators; contains deadline language,0.519,message_0359;message_0054;message_0225
msg_089,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; personal or greeting content is usually low urgency | matched urgency indicators; contains deadline language,0.458,none
msg_053,mute,greeting,history shows repeated reporting; business risk score is elevated; the group context is high priority | matched greeting language,0.392,message_0411;message_0161;message_0253
msg_059,notify,urgent,scam-like indicators increase mute likelihood; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.535,message_0053;message_0174;message_0023
msg_024,notify,urgent,urgent wording suggests immediate attention; promotions are better batched for this user; high dismissal rates suggest batching instead of interruption | matched urgency indicators; contains deadline language,0.575,message_0257;message_0103;message_0157
msg_072,digest,greeting,OTP language raises risk; business risk score is elevated; the group context is high priority | matched greeting language,0.463,message_0023;message_0045;message_0213
msg_036,mute,payment,history shows repeated reporting; business risk score is elevated; payment without verified business is less urgent | matched payment or billing language,0.461,message_0283;message_0127;message_0128
msg_076,notify,urgent,history shows repeated reporting; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.538,message_0208;message_0207;message_0159
msg_055,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; personal or greeting content is usually low urgency | matched urgency indicators,0.442,message_0166;message_0165
msg_102,digest,greeting,business risk score is elevated; personal or greeting content is usually low urgency; high dismissal rates suggest batching instead of interruption | matched greeting language,0.462,message_0371;message_0230;message_0268
msg_080,digest,greeting,business risk score is elevated; the group context is high priority; personal or greeting content is usually low urgency | matched greeting language,0.481,message_0216;message_0130;message_0190
msg_093,notify,urgent,OTP language raises risk; urgent wording suggests immediate attention; personal or greeting content is usually low urgency | matched urgency indicators; contains deadline language,0.658,message_0398;message_0349;message_0347
msg_034,notify,urgent,the user has muted this group; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators,0.462,message_0013;message_0167;message_0123
msg_035,notify,payment,history shows repeated reporting; verified business payment context is high confidence; the user currently has a heavy notification load | matched payment or billing language,0.598,message_0281;message_0125;message_0126
msg_101,digest,unknown,business risk score is elevated; high dismissal rates suggest batching instead of interruption; the user currently has a heavy notification load | did not match strong rule-based indicators,0.383,message_0370;message_0229;message_0268
msg_041,notify,urgent,urgent wording suggests immediate attention; event or business-update language is time-sensitive; personal or greeting content is usually low urgency | matched urgency indicators; contains deadline language,0.647,message_0137;message_0138;message_0239
msg_011,notify,urgent,the user has muted this group; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.519,message_0123;message_0171;message_0077
msg_110,notify,urgent,history shows repeated reporting; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators,0.44,message_0238;message_0380;message_0381
msg_095,digest,payment,history shows repeated reporting; business risk score is elevated; payment without verified business is less urgent | matched payment or billing language,0.364,none
msg_074,notify,urgent,the user has muted this group; history shows repeated reporting; business risk score is elevated | matched urgency indicators; contains deadline language,0.38,message_0203;message_0204;message_0358
msg_073,notify,urgent,history shows repeated reporting; business risk score is elevated; urgent wording suggests immediate attention | matched urgency indicators; contains deadline language,0.484,message_0201;message_0087;message_0183
msg_054,mute,urgent,scam-like indicators increase mute likelihood; history shows repeated reporting; business risk score is elevated | matched urgency indicators; contains deadline language,0.4,message_0163;message_0164;message_0211
msg_068,digest,greeting,business risk score is elevated; personal or greeting content is usually low urgency; the user currently has a heavy notification load | matched greeting language,0.47,message_0191;message_0192;message_0289
msg_100,notify,payment,business risk score is elevated; urgent wording suggests immediate attention; payment without verified business is less urgent | matched payment or billing language; contains an amount,0.535,message_0362;message_0228;message_0055
msg_062,mute,scam,scam-like indicators increase mute likelihood; business risk score is elevated; the group context is high priority | matched scam-related indicators,0.511,message_0043;message_0129;message_0215
msg_096,digest,payment,business risk score is elevated; payment without verified business is less urgent; high dismissal rates suggest batching instead of interruption | contains an amount,0.32,none
msg_043,notify,urgent,business risk score is elevated; urgent wording suggests immediate attention; the group context is high priority | matched urgency indicators,0.495,message_0097;message_0067;message_0030
msg_077,digest,greeting,business risk score is elevated; the group context is high priority; media content adds context | matched greeting language,0.44,message_0403;message_0051;message_0037
msg_081,mute,unknown,business risk score is elevated; media content adds context; the user currently has a heavy notification load | did not match strong rule-based indicators,0.349,message_0217;message_0057;message_0123
msg_025,notify,urgent,urgent wording suggests immediate attention; personal or greeting content is usually low urgency; the user currently has a heavy notification load | matched urgency indicators; contains deadline language,0.684,message_0239;message_0004;message_0105
